Empresa,Costo,Mes
BBU,91,1 Enero
CL,32,1 Enero
CA,89,1 Enero
CL,25,1 Enero
CA,19,1 Enero
BBU,28,1 Enero
BBU,14,1 Enero
BBU,64,1 Enero
BBU,82,1 Enero
BBU,16,1 Enero
BBU,23,1 Enero
CA,49,1 Enero
CA,0,1 Enero
CA,38,1 Enero
CA,41,1 Enero
CL,96,1 Enero
CL,14,1 Enero
CL,65,1 Enero
CL,6,1 Enero
BBU,45,2 Febrero
CL,79,2 Febrero
CA,0,2 Febrero
CL,10,2 Febrero
CA,31,2 Febrero
BBU,9,2 Febrero
BBU,63,2 Febrero
BBU,76,2 Febrero
BBU,50,2 Febrero
BBU,43,2 Febrero
BBU,34,2 Febrero
CA,35,2 Febrero
CA,0,2 Febrero
CA,2,2 Febrero
CA,61,2 Febrero
CL,91,2 Febrero
CL,97,2 Febrero
CL,74,2 Febrero
CL,0,2 Febrero
BBU,78,3
CL,94,3
CA,94,3
CL,72,3
CA,50,3
BBU,35,3
BBU,42,3
BBU,12,3
BBU,0,3
BBU,75,3
BBU,55,3
CA,86,3
CA,90,3
CA,49,3
CA,13,3
CL,34,3
CL,53,3
CL,35,3
CL,24,3
BBU,19,4
CL,31,4
CA,100,4
CL,32,4
CA,59,4
BBU,43,4
BBU,93,4
BBU,68,4
BBU,70,4
BBU,64,4
BBU,9,4
CA,59,4
CA,50,4
CA,92,4
CA,22,4
CL,84,4
CL,68,4
CL,2,4
CL,8,4
BBU,98,5
CL,19,5
CA,94,5
CL,63,5
CA,32,5
BBU,69,5
BBU,5,5
BBU,10,5
BBU,0,5
BBU,82,5
BBU,5,5
CA,12,5
CA,79,5
CA,9,5
CA,55,5
CL,27,5
CL,94,5
CL,87,5
CL,88,5
BBU,15,6
CL,11,6
CA,0,6
CL,11,6
CA,65,6
BBU,88,6
BBU,96,6
BBU,28,6
BBU,13,6
BBU,84,6
BBU,54,6
CA,0,6
CA,43,6
CA,80,6
CA,15,6
CL,11,6
CL,0,6
CL,35,6
CL,79,6
BBU,28,7
CL,66,7
CA,23,7
CL,63,7
CA,0,7
BBU,41,7
BBU,64,7
BBU,2,7
BBU,44,7
BBU,41,7
BBU,24,7
CA,93,7
CA,82,7
CA,51,7
CA,96,7
CL,49,7
CL,46,7
CL,7,7
CL,1,7
BBU,55,8
CL,2,8
CA,0,8
CL,11,8
CA,77,8
BBU,97,8
BBU,1,8
BBU,71,8
BBU,88,8
BBU,9,8
BBU,0,8
CA,3,8
CA,45,8
CA,87,8
CA,18,8
CL,30,8
CL,28,8
CL,50,8
CL,43,8
BBU,29,9
CL,23,9
CA,76,9
CL,64,9
CA,82,9
BBU,13,9
BBU,9,9
BBU,69,9
BBU,3,9
BBU,32,9
BBU,6,9
CA,12,9
CA,98,9
CA,38,9
CA,0,9
CL,96,9
CL,85,9
CL,40,9
CL,43,9
BBU,49,10
CL,70,10
CA,65,10
CL,59,10
CA,100,10
BBU,71,10
BBU,6,10
BBU,62,10
BBU,0,10
BBU,7,10
BBU,41,10
CA,31,10
CA,29,10
CA,82,10
CA,78,10
CL,31,10
CL,20,10
CL,31,10
CL,42,10
BBU,81,11
CL,53,11
CA,8,11
CL,0,11
CA,63,11
BBU,10,11
BBU,80,11
BBU,77,11
BBU,66,11
BBU,21,11
BBU,29,11
CA,81,11
CA,38,11
CA,44,11
CA,78,11
CL,30,11
CL,83,11
CL,50,11
CL,95,11
BBU,62,12
CL,69,12
CA,0,12
CL,14,12
CA,86,12
BBU,39,12
BBU,1,12
BBU,15,12
BBU,64,12
BBU,96,12
BBU,97,12
CA,14,12
CA,22,12
CA,83,12
CA,0,12
CL,65,12
CL,14,12
CL,37,12
CL,40,12
